Letter,Original English,Caesar Cipher,Vigenère Cipher,English Standard
A,8.708938120702827,0.0,3.2849503437738727,8.167
B,1.5278838808250574,0.38402457757296465,2.4446142093200915,1.492
C,2.750190985485103,0.0,2.5210084033613445,2.782
D,4.4308632543926665,8.832565284178187,1.145912910618793,4.253
E,14.43850267379679,1.3824884792626728,5.88235294117647,12.702
F,3.132161955691368,3.0721966205837172,2.979373567608862,2.228
G,2.0626432391138274,4.68509984639017,4.125286478227655,2.015
H,7.639419404125286,14.592933947772657,2.3682200152788386,6.094
I,6.11153552330023,2.995391705069124,8.25057295645531,6.966
J,0.2291825821237586,2.0737327188940093,4.048892284186402,0.153
K,0.6111535523300229,7.757296466973887,3.972498090145149,0.772
L,3.972498090145149,5.913978494623656,4.4308632543926665,4.025
M,1.9862490450725745,0.2304147465437788,5.88235294117647,2.406
N,7.257448433919023,0.5376344086021506,3.2849503437738727,6.749
O,6.11153552330023,3.9938556067588324,1.9098548510313216,7.507
P,1.9862490450725745,1.9201228878648235,2.4446142093200915,1.929
Q,0.0,7.296466973886329,2.0626432391138274,0.095
R,6.264323911382736,5.990783410138248,5.729564553093964,5.987
S,6.493506493506493,2.0737327188940093,2.5974025974025974,6.327
T,8.097784568372804,0.0,3.2085561497326207,9.056
U,2.291825821237586,6.451612903225806,2.9029793735676086,2.758
V,0.53475935828877,6.451612903225806,7.868601986249045,0.978
W,2.4446142093200915,8.064516129032258,3.2849503437738727,2.36
X,0.07639419404125286,2.227342549923195,4.4308632543926665,0.15
Y,0.7639419404125287,0.5376344086021506,4.048892284186402,1.974
Z,0.07639419404125286,2.5345622119815667,4.889228418640183,0.074
